Property Locality,Area,Purchase Price,% Interest of Sale
CAMELLIA,4.006,143600000.0,0.0
BADGERYS CREEK,34.683571428571426,78516482.76190476,0.0
HUNTINGWOOD,973.1495,45825000.0,0.0
JEMALONG,3424.4007500000002,43056950.625,0.0
WANTAGONG,1643.7,36000000.0,0.0
CLEVELAND,40.71,33695000.0,0.0
KEMPS CREEK,125.11916216216218,33561411.0131579,0.6578947368421053
BRUNGLE CREEK,1491.249,30000000.0,0.0
LEN WATERS ESTATE,2.0195,28075000.0,0.0
JEWS LAGOON,6421.912875,27123138.875,0.0
TUMORRAMA,178.61333333333334,24940635.0,0.0
PARADISE,2575.079,23500000.0,1.0
BOOROLONG,1724.7728,21098000.0,0.0
CASTLE ROCK,96.454,20500000.0,0.0
5596,,20241025.0,
PIGEONBAH,220.6,20000000.0,0.0
MEDWAY,308.76959999999997,19825400.0,0.0
WEEMELAH,3029.6956666666665,16042977.777777778,0.0
TABBITA,4027.41875,15915167.625,0.0
TUPPAL,2676.96,15657217.0,0.0
KAYUGA,1358.4805,14894157.357142856,0.0
BROUGHAMS GATE,26666.19,13910342.857142856,0.0
MURRAWOMBIE,1036.0,13796952.0,0.0
SYDNEY,229.80084598698483,13358163.472774869,0.13089005235602094
CORROWONG,957.7894,13346000.0,0.0
GRAMAN,2499.9555555555553,12792872.666666666,0.0
POINT PIPER,343.61081081081085,12610767.379746836,0.0
WANAARING,51592.021,12503847.0,0.0
KOORAGANG,2.643857142857143,12485733.142857144,0.0
NOWLEY,2681.7999999999997,12448250.0,0.0
GOBARRALONG,1521.4599999999998,11750000.0,0.0
MALDON,2.615,11506000.0,0.0
MERAH NORTH,546.5194117647059,11505190.0,0.0
EASTERN CREEK,1026.5679310344829,11073396.5,2.2
DARTBROOK,46.49250000000001,10821250.0,0.0
GLENDALE,843.0764155844156,10814290.658227848,0.0
HORSLEY PARK,1361.6483962264151,10704789.698113207,0.0
RAND,1428.4004814814816,10562407.0,0.0
MACDONALDS CREEK,699.8,10410000.0,0.0
CANONBA,5096.392,10376850.0,0.0
COLLERINA,11246.423,10300000.0,0.0
CORINELLA,1100.8173333333334,10260698.666666666,0.0
FAIRHOLME,1679.1671428571428,9928750.57142857,0.14285714285714285
WATSONS BAY,398.51199999999994,9693362.068965517,0.0
GUMBALIE,29652.0,9600000.0,0.0
YARARA,340.9,9586300.0,0.0
BRADFIELD,2.4623125,9546062.5,0.0
PAGES CREEK,1446.251,9388879.0,0.0
BELLA VISTA,463.21143436754176,9152123.937119676,0.0
ORCHARD HILLS,1716.855046511628,9064404.590909092,0.0
MOUNT WHITE,35.01,8994370.5,0.0
TIMOR,800.8307142857144,8953357.142857144,0.0
CARRATHOOL,1400.1251,8785562.333333334,1.6666666666666667
COONEYS CREEK,357.7,8680000.0,0.0
TOOLEYBUC,869.6672000000001,8616625.0,0.0
BRINGELLY,584.8804772727273,8608588.361702127,1.0638297872340425
OBANVALE,27.298499999999997,8540000.0,0.0
GOOMBARGANA,179.6966666666667,8510000.0,0.0
COOPERS SHOOT,639.1055833333334,8508437.5,4.125
PEMULWUY,410.33214136125656,8445009.674342105,0.16776315789473684
BACK CREEK,1220.4580454545455,8287556.818181818,0.0
BURRA CREEK,815.9098,8246150.0,0.0
SUTTON FOREST,697.4973103448275,8179677.645161291,0.0
PULLETOP,341.535,8175316.0,0.0
BULLARAH,1141.6290000000001,8164202.8,0.0
ALMA PARK,423.3,8120000.0,0.0
LITTLE BILLABONG,246.208,8079604.583333333,0.0
PALARANG,977.5665,8045163.0,0.0
CARROLL,1152.0684782608696,8044272.833333333,0.0
TWIN RIVERS,1146.0,8006400.0,0.0
LONGUEVILLE,831.5883333333334,8003850.622950819,0.0
EUROLEY,471.43142857142857,7813698.428571428,0.0
LAKE COWAL,1608.7476,7803629.6,0.0
BERRIMA,853.8891470588235,7712755.405797102,0.0
CAWDOR,96.63678571428571,7590580.0,5.0
MYALL PARK,119.31663157894737,7548693.894736842,0.0
TALAWANTA,6865.6795,7377600.0,0.0
MANGOOLA,62.72666666666667,7308333.333333333,0.0
MORUNDAH,2238.0235000000002,7275500.0,0.0
BULYEROI,401.5,7268100.0,0.0
STEAM PLAINS,7365.975,7233405.0,50.0
GIRO,4359.677,7223750.0,0.0
TWEED HEADS SOUTH,685.7491525423728,7211054.65917603,0.24906367041198502
HAMBLEDON HILL,96.64999999999999,7154400.0,0.0
GIN GIN,4541.2065,7145891.5,0.0
BOOMI,2424.9533333333334,7133908.333333333,0.0
DIRNASEER,684.6845000000001,7126090.666666667,0.0
LOXFORD,13.5828,7103800.0,0.0
LUDDENHAM,2234.8085853658536,6833427.428571428,0.0
GLENELG,916.5,6794160.0,0.0
WOLLOGORANG,169.65085714285715,6748237.714285715,0.0
ALICE,178.26,6728413.0,0.0
VAUCLUSE,566.5693432835822,6715189.513626834,0.16981132075471697
DARBALARA,2072.7120000000004,6663752.8,0.0
DUFFYS FOREST,997.2749411764705,6615294.117647059,0.0
TOORANIE,2410.4,6610800.0,0.0
FORDS BRIDGE,18200.333333333332,6602540.666666667,0.0
CROOBLE,867.5506666666666,6554651.333333333,0.0
BARANGAROO,158.75178846153847,6531905.7427055705,0.0
KIKOIRA,2201.92,6529200.0,0.0
